id_usuario,Length,Recency_Prime,Frequency,Monetary,Recency,Cluster
12346.0,0.0,326.0,1.0,77183.6,326.0,4
12347.0,365.0,57.333333333333336,7.0,4309.999999999999,57.333333333333336,2
12348.0,282.0,214.33333333333334,4.0,1797.24,214.33333333333334,2
12349.0,0.0,19.0,1.0,1757.55,19.0,1
12350.0,0.0,310.0,1.0,334.4,310.0,4
12352.0,260.0,62.666666666666664,8.0,2506.04,62.666666666666664,2
12353.0,0.0,204.0,1.0,89.0,204.0,4
12354.0,0.0,232.0,1.0,1079.4,232.0,4
12355.0,0.0,214.0,1.0,459.4,214.0,4
12356.0,302.0,198.33333333333334,3.0,2811.43,198.33333333333334,2
12357.0,0.0,33.0,1.0,6207.67,33.0,1
12358.0,149.0,76.5,2.0,1168.06,76.5,1
12359.0,274.0,184.33333333333334,4.0,6372.58,184.33333333333334,2
12360.0,148.0,122.0,3.0,2662.06,122.0,2
12361.0,0.0,287.0,1.0,189.9,287.0,4
12362.0,292.0,27.333333333333332,10.0,5226.23,27.333333333333332,2
12363.0,132.0,176.0,2.0,552.0,176.0,2
12364.0,104.0,42.0,4.0,1313.1,42.0,1
12365.0,0.0,291.0,2.0,641.38,291.0,4
12367.0,0.0,4.0,1.0,168.9,4.0,1
12370.0,309.0,228.0,4.0,3545.6899999999996,228.0,2
12371.0,14.0,52.5,2.0,1887.96,52.5,1
12372.0,224.0,194.0,3.0,1298.04,194.0,2
12373.0,0.0,311.0,1.0,364.6,311.0,4
12374.0,0.0,25.0,1.0,742.9300000000001,25.0,1
12375.0,87.0,54.5,2.0,457.5,54.5,1
12377.0,39.0,335.0,2.0,1628.12,335.0,4
12378.0,0.0,130.0,1.0,4008.62,130.0,1
12379.0,88.0,126.0,2.0,852.24,126.0,1
12380.0,164.0,52.333333333333336,4.0,2724.8100000000004,52.333333333333336,2
12381.0,115.0,32.333333333333336,5.0,1845.31,32.333333333333336,1
12383.0,167.0,231.33333333333334,5.0,1850.5600000000002,231.33333333333334,4
12384.0,92.0,75.5,2.0,585.27,75.5,1
12386.0,29.0,352.5,2.0,401.9,352.5,4
12388.0,311.0,80.0,6.0,2780.6600000000003,80.0,2
12390.0,0.0,80.0,1.0,549.84,80.0,1
12391.0,0.0,22.0,1.0,460.89,22.0,1
12393.0,260.0,216.0,4.0,1582.6,216.0,2
12394.0,153.0,140.5,2.0,1272.48,140.5,2
12395.0,351.0,27.0,12.0,3018.6299999999997,27.0,0
12397.0,99.0,85.5,2.0,2409.8999999999996,85.5,1
12398.0,0.0,46.0,1.0,1635.6599999999999,46.0,1
12399.0,142.0,172.0,4.0,1108.65,172.0,2
12401.0,0.0,303.0,1.0,84.3,303.0,4
12402.0,0.0,323.0,1.0,225.6,323.0,4
12403.0,0.0,50.0,1.0,427.7,50.0,1
12405.0,0.0,149.0,1.0,1710.39,149.0,1
12406.0,161.0,103.0,2.0,3415.3,103.0,2
12407.0,214.0,113.66666666666667,5.0,1708.12,113.66666666666667,2
12408.0,227.0,102.66666666666667,5.0,2888.55,102.66666666666667,2
12409.0,103.0,113.66666666666667,3.0,11072.67,113.66666666666667,1
12410.0,0.0,309.0,2.0,693.3299999999999,309.0,4
12412.0,94.0,127.33333333333333,3.0,1226.88,127.33333333333333,1
12413.0,270.0,213.33333333333334,3.0,758.1,213.33333333333334,2
12414.0,93.0,251.66666666666666,3.0,562.41,251.66666666666666,4
12415.0,313.0,28.666666666666668,21.0,124914.53000000003,28.666666666666668,3
12417.0,354.0,49.666666666666664,9.0,3649.1,49.666666666666664,2
12418.0,0.0,113.0,1.0,668.58,113.0,1
12420.0,0.0,64.0,1.0,600.39,64.0,1
12421.0,303.0,101.33333333333333,4.0,807.04,101.33333333333333,2
12422.0,229.0,196.33333333333334,3.0,803.56,196.33333333333334,2
12423.0,352.0,98.0,8.0,1859.31,98.0,2
12424.0,0.0,163.0,2.0,1760.9600000000003,163.0,1
12425.0,0.0,78.0,1.0,777.2,78.0,1
12426.0,0.0,195.0,1.0,582.73,195.0,4
12427.0,349.0,151.33333333333334,3.0,825.8,151.33333333333334,2
12428.0,257.0,101.33333333333333,9.0,7956.46,101.33333333333333,2
12429.0,356.0,136.66666666666666,4.0,3750.4,136.66666666666666,2
12430.0,0.0,43.0,1.0,256.4,43.0,1
12431.0,338.0,53.666666666666664,15.0,6487.450000000001,53.666666666666664,0
12432.0,129.0,85.33333333333333,5.0,5059.320000000001,85.33333333333333,1
12433.0,372.0,3.6666666666666665,7.0,13375.869999999999,3.6666666666666665,0
12434.0,175.0,172.5,2.0,806.14,172.5,2
12435.0,188.0,174.0,2.0,7829.89,174.0,2
12436.0,0.0,100.0,1.0,509.01,100.0,1
12437.0,329.0,10.666666666666666,18.0,4951.41,10.666666666666666,0
12438.0,125.0,77.0,2.0,2906.85,77.0,1
12441.0,0.0,367.0,1.0,173.55,367.0,4
12442.0,0.0,3.0,1.0,172.06,3.0,1
12444.0,149.0,55.333333333333336,5.0,5005.46,55.333333333333336,2
12445.0,0.0,22.0,1.0,133.4,22.0,1
12446.0,0.0,58.0,1.0,1002.3100000000001,58.0,1
12447.0,0.0,243.0,1.0,476.49,243.0,4
12448.0,0.0,44.0,1.0,449.45,44.0,1
12449.0,164.0,81.33333333333333,4.0,4067.29,81.33333333333333,2
12450.0,17.0,164.5,2.0,197.88,164.5,4
12451.0,313.0,32.666666666666664,5.0,9035.519999999999,32.666666666666664,2
12452.0,0.0,17.0,2.0,430.57,17.0,1
12453.0,0.0,134.0,1.0,707.09,134.0,1
12454.0,0.0,56.0,1.0,3528.34,56.0,1
12455.0,223.0,119.0,6.0,2466.86,119.0,2
12456.0,210.0,143.33333333333334,3.0,3181.04,143.33333333333334,2
12457.0,172.0,77.66666666666667,7.0,2363.23,77.66666666666667,2
12458.0,213.0,178.0,2.0,947.4000000000001,178.0,2
12461.0,60.0,124.5,2.0,826.88,124.5,1
12462.0,284.0,161.0,2.0,1189.5900000000001,161.0,2
12463.0,188.0,145.0,4.0,1344.7800000000002,145.0,2
12464.0,299.0,46.0,8.0,1212.05,46.0,2
12465.0,152.0,93.0,2.0,742.19,93.0,2
12468.0,128.0,252.0,2.0,729.5400000000001,252.0,4
12471.0,362.0,7.333333333333333,30.0,19824.050000000003,7.333333333333333,0
12472.0,336.0,74.33333333333333,7.0,6572.110000000001,74.33333333333333,2
12473.0,162.0,37.333333333333336,5.0,3938.55,37.333333333333336,2
12474.0,312.0,30.333333333333332,18.0,7375.790000000001,30.333333333333332,0
12475.0,0.0,54.0,1.0,723.38,54.0,1
12476.0,345.0,29.0,11.0,6816.419999999999,29.0,0
12477.0,278.0,47.666666666666664,6.0,13219.74,47.666666666666664,2
12478.0,0.0,4.0,1.0,680.99,4.0,1
12479.0,0.0,11.0,1.0,527.2,11.0,1
12480.0,307.0,146.0,4.0,3281.6299999999997,146.0,2
12481.0,342.0,89.66666666666667,10.0,5596.320000000001,89.66666666666667,2
12483.0,322.0,52.333333333333336,8.0,2484.98,52.333333333333336,2
12484.0,303.0,56.333333333333336,6.0,4541.719999999999,56.333333333333336,2
12488.0,65.0,42.0,3.0,1298.66,42.0,1
12489.0,0.0,336.0,1.0,334.93,336.0,4
12490.0,324.0,16.0,10.0,5417.93,16.0,0
12491.0,0.0,39.0,1.0,460.40000000000003,39.0,1
12492.0,42.0,84.0,2.0,263.21000000000004,84.0,1
12493.0,31.0,181.5,2.0,433.74,181.5,4
12494.0,349.0,72.66666666666667,7.0,1246.1000000000001,72.66666666666667,2
12497.0,0.0,82.0,1.0,1043.1,82.0,1
12498.0,36.0,33.333333333333336,3.0,403.7,33.333333333333336,1
12500.0,310.0,41.666666666666664,11.0,4257.82,41.666666666666664,0
12501.0,0.0,337.0,1.0,2169.39,337.0,4
12502.0,214.0,147.33333333333334,5.0,3723.87,147.33333333333334,2
12504.0,12.0,24.0,2.0,482.04999999999995,24.0,1
12506.0,0.0,233.0,1.0,73.5,233.0,4
12507.0,164.0,196.33333333333334,3.0,1304.81,196.33333333333334,2
12508.0,2.0,27.5,2.0,398.27,27.5,1
12509.0,0.0,284.0,1.0,176.5,284.0,4
12510.0,182.0,234.0,2.0,982.5699999999999,234.0,4
12512.0,0.0,66.0,2.0,138.03,66.0,1
12513.0,0.0,113.0,1.0,612.29,113.0,1
12514.0,0.0,267.0,1.0,1017.68,267.0,4
12515.0,0.0,353.0,1.0,383.7,353.0,4
12516.0,102.0,129.5,2.0,1312.06,129.5,1
12517.0,161.0,43.333333333333336,5.0,2502.84,43.333333333333336,2
12518.0,109.0,29.666666666666668,5.0,2056.89,29.666666666666668,1
12519.0,0.0,64.0,1.0,340.84,64.0,1
12520.0,194.0,142.0,5.0,2634.2599999999998,142.0,2
12521.0,0.0,143.0,1.0,599.68,143.0,1
12522.0,12.0,45.0,2.0,192.72,45.0,1
12523.0,312.0,42.333333333333336,11.0,1789.7700000000002,42.333333333333336,2
12524.0,324.0,78.33333333333333,8.0,4485.72,78.33333333333333,2
12526.0,93.0,49.666666666666664,3.0,1316.6599999999999,49.666666666666664,1
12527.0,243.0,234.33333333333334,3.0,348.71000000000004,234.33333333333334,2
12528.0,303.0,62.666666666666664,6.0,1933.48,62.666666666666664,2
