id_usuario,intervalo,fecha_inicio,fecha_fin,Length,Recency_Prime,Frequency,Monetary
12346.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,40.0,1.0,77183.6
12346.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,,0.0,0.0
12346.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,,0.0,0.0
12346.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,,0.0,0.0
12346.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,0.0,,0.0,0.0
12347.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,32.0,1.0,475.39
12347.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,22.0,1.0,636.25
12347.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,20.0,1.0,382.52
12347.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,28.0,1.0,584.9100000000001
12347.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,0.0,,0.0,0.0
12348.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,33.0,1.0,227.44
12348.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,24.0,1.0,367.0
12348.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,,0.0,0.0
12348.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,,0.0,0.0
12348.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,0.0,35.0,1.0,310.0
12350.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,25.0,1.0,334.4
12350.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,,0.0,0.0
12350.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,,0.0,0.0
12350.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,,0.0,0.0
12350.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,0.0,,0.0,0.0
12352.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,11.0,1.0,296.5
12352.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,21.0,46.666666666666664,4.0,1265.31
12352.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,,0.0,0.0
12352.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,,0.0,0.0
12352.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,8.0,36.0,2.0,632.5
12353.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,,0.0,0.0
12353.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,,0.0,0.0
12353.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,41.0,1.0,89.0
12353.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,,0.0,0.0
12353.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,0.0,,0.0,0.0
12354.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,,0.0,0.0
12354.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,8.0,1.0,1079.4
12354.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,,0.0,0.0
12354.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,,0.0,0.0
12354.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,0.0,,0.0,0.0
12355.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,,0.0,0.0
12355.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,,0.0,0.0
12355.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,51.0,1.0,459.4
12355.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,,0.0,0.0
12355.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,0.0,,0.0,0.0
12356.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,40.0,1.0,2271.62
12356.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,21.0,1.0,481.46000000000004
12356.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,,0.0,0.0
12356.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,,0.0,0.0
12356.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,0.0,,0.0,0.0
12358.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,,0.0,0.0
12358.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,,0.0,0.0
12358.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,,0.0,0.0
12358.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,49.0,1.0,484.86
12358.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,0.0,,0.0,0.0
12359.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,26.0,33.0,2.0,2386.41
12359.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,,0.0,0.0
12359.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,26.0,1.0,1109.32
12359.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,,0.0,0.0
12359.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,0.0,17.0,1.0,2876.85
12360.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,,0.0,0.0
12360.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,,0.0,0.0
12360.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,37.0,1.0,1083.58
12360.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,11.0,1.0,534.7
12360.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,0.0,12.0,1.0,1043.78
12361.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,2.0,1.0,189.9
12361.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,,0.0,0.0
12361.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,,0.0,0.0
12361.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,,0.0,0.0
12361.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,0.0,,0.0,0.0
12362.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,10.0,1.0,479.1
12362.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,1.0,1.0,495.24
12362.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,,0.0,0.0
12362.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,35.0,36.5,2.0,773.01
12362.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,29.0,8.333333333333334,4.0,2471.9
12363.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,,0.0,0.0
12363.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,18.0,1.0,299.1
12363.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,,0.0,0.0
12363.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,8.0,1.0,252.9
12363.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,0.0,,0.0,0.0
12364.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,,0.0,0.0
12364.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,,0.0,0.0
12364.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,,0.0,0.0
12364.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,11.0,1.0,623.92
12364.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,37.0,19.0,2.0,378.86
12365.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,6.0,2.0,641.38
12365.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,,0.0,0.0
12365.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,,0.0,0.0
12365.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,,0.0,0.0
12365.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,0.0,,0.0,0.0
12370.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,,0.0,0.0
12370.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,50.0,1.0,938.39
12370.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,,0.0,0.0
12370.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,,0.0,0.0
12370.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,0.0,11.0,1.0,739.28
12371.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,,0.0,0.0
12371.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,,0.0,0.0
12371.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,,0.0,0.0
12371.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,,0.0,0.0
12371.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,14.0,11.5,2.0,1887.96
12372.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,11.0,1.0,399.22
12372.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,,0.0,0.0
12372.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,49.0,1.0,515.7
12372.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,,0.0,0.0
12372.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,0.0,31.0,1.0,383.12
12373.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,26.0,1.0,364.6
12373.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,,0.0,0.0
12373.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,,0.0,0.0
12373.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,,0.0,0.0
12373.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,0.0,,0.0,0.0
12375.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,,0.0,0.0
12375.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,,0.0,0.0
12375.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,,0.0,0.0
12375.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,,0.0,0.0
12375.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,0.0,58.0,1.0,230.3
12377.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,30.0,1.0,626.6
12377.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,,0.0,0.0
12377.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,,0.0,0.0
12377.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,,0.0,0.0
12377.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,0.0,,0.0,0.0
12378.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,,0.0,0.0
12378.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,,0.0,0.0
12378.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,,0.0,0.0
12378.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,28.0,1.0,4008.62
12378.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,0.0,,0.0,0.0
12379.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,,0.0,0.0
12379.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,,0.0,0.0
12379.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,7.0,1.0,459.84
12379.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,,0.0,0.0
12379.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,0.0,41.0,1.0,392.40000000000003
12380.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,,0.0,0.0
12380.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,,0.0,0.0
12380.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,22.0,1.0,607.5500000000001
12380.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,,0.0,0.0
12380.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,21.0,27.0,2.0,1076.87
12381.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,,0.0,0.0
12381.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,,0.0,0.0
12381.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,,0.0,0.0
12381.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,18.0,1.0,1268.74
12381.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,0.0,18.5,2.0,10.5
12383.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,46.0,1.0,651.16
12383.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,32.0,30.0,2.0,499.23
12383.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,22.0,1.0,99.45
12383.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,,0.0,0.0
12383.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,0.0,,0.0,0.0
12384.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,,0.0,0.0
12384.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,,0.0,0.0
12384.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,,0.0,0.0
12384.0,3,2011-06-30 08:26:00,2011-08-31 08:26:00,0.0,20.0,1.0,292.69
12384.0,4,2011-08-31 08:26:00,2011-10-31 08:26:00,0.0,,0.0,0.0
12386.0,0,2010-12-31 08:26:00,2011-02-28 08:26:00,0.0,52.0,1.0,143.0
12386.0,1,2011-02-28 08:26:00,2011-04-30 08:26:00,0.0,,0.0,0.0
12386.0,2,2011-04-30 08:26:00,2011-06-30 08:26:00,0.0,,0.0,0.0
